rank,category,score,designation,alt_names,country,manufacturer,description,key_specs,source_urls
41,Naval vessels,77.7,Khabarovsk-class Project 09851,,Russia,,"The Khabarovsk-class, officially designated Project 09851, is a nuclear-powered special-purpose strategic submarine designed by the Rubin Central Design Bureau and constructed by Sevmash in Severodvin",Type: Nuclear-powered special-purpose strategic submarine | Country users: Russia | Designer Country: Russia | Dimensions: Length 113 m; Beam 10 m; Draught ~10 m | Speed: 30–32 knots submerged,https://www.armyrecognition.com/military-products/navy/submarines/attack-submarines/khabarovsk-class-project-09851
42,Naval vessels,77.7,LHD Trieste class,,Italy,,"The Trieste is Landing Helicopter Dock (LHD) of the Italian Navy, designed to enhance Italy's amphibious warfare and power projection capabilities. Built by Fincantieri, a leading Italian shipbuilding","Country users: Italy | Designer Country: Italy | Dimensions: Length: 245 m; Beam: 47 m; Depth: 7.2 m | Engines: The Trieste is powered by a Combined Diesel or Gas (CODOG) propulsion system, comprising two Rolls-Royce MT30 gas turbines delivering 76,000 kW and two MAN 20V32/44CR diesel engines providing 24,000 kW. This configuration enables a maximum speed of 25 knots. For low-speed operations, the ship utilizes two 2,250 kW electric engines, allowing speeds up to 10 knots. The vessel boasts a range of 7,000 | Speed: 25 knots (46 km/h; 29 mph) on TAGs, 18 knots (33 km/h; 21 mph) on diesel engines, 10 kn (19 km/h; 12 mph) on electric engines",https://www.armyrecognition.com/military-products/navy/amphibious-warfare-ship/amphibious-assault-ship/lhd-trieste-class
43,Naval vessels,77.7,Liaoning Type 001,,China,,The Type 001 Aircraft Carrier Liaoning is the first aircraft carrier commissioned into the People's Liberation Army Navy (PLAN) of China. Originally laid down as the Soviet Navy's Kuznetsov-class carr,"Country users: China | Designer Country: USSR | Dimensions: Length: 306.4 m; Beam: 74.4 m | Engine and Propulsion: The propulsion system of the Liaoning is conventional, relying on steam turbines powered by eight KVG-4 boilers. These boilers feed into four steam turbines, generating a combined total of approximately 200,000 shaft horsepower (shp). The power is distributed across four shafts with four fixed-pitch propellers. Additionally, the vessel has nine 2,011 hp (1,500 kW) turbogenerators and six 2,011 hp  | Speed: 32 knots (59 km/h; 37 mph)",https://www.armyrecognition.com/military-products/navy/aircraft-carriers/liaoning-type-001
44,Naval vessels,77.7,MH-60R Seahawk,,"United States, Australia, Denmark, Greece, India, Norway, Saudi Arabia, South Korea, Spain",,"The Sikorsky MH-60R Seahawk is a multi-mission naval helicopter developed by Sikorsky Aircraft, a Lockheed Martin company, for the United States Navy and allied naval forces. Designed for anti-submari","Type: Twin-engine, multi-mission naval helicopter | Country users: United States, Australia, Denmark, Greece, India, Norway, Saudi Arabia, South Korea, Spain | Designer Country: United States | Weight: 10,659 kg | Dimensions: Length: 19.76 m; Rotor Diameter: 16.36 m; Height: 5.18 m",https://www.armyrecognition.com/military-products/navy/naval-aircraft/mh-60r-seahawk
45,Naval vessels,77.7,Mogami-class,,"Australia, Japan",,"The Mogami-class is a modern, stealth-oriented, multi-mission frigate developed for the Japan Maritime Self-Defense Force (JMSDF). Designed by Mitsubishi Heavy Industries (MHI) and constructed in coll","Type: Multi-mission stealth frigate (30FFM / 30DX) | Country users: Australia, Japan | Designer Country: Japan (MHI & Mitsui E&S) | Dimensions: Length: 132–133 m; Beam: 16.3 m; Draft: ~9 m | Engine: Mogami-class is powered by a Combined Diesel and Gas (CODAG) propulsion system. This includes a single Rolls-Royce MT30 marine gas turbine, producing up to 36 MW, and two MAN 12V28/33D STC diesel engines. The twin-shaft configuration, equipped with controllable-pitch propellers, delivers a maximum speed exceeding 30 knots and optimized fuel efficiency for long-range cruising. Mogami-class features",https://www.armyrecognition.com/military-products/navy/frigates/mogami-class
46,Naval vessels,77.7,Nimitz-class aircraft carrier,,United States,,"The Nimitz-class aircraft carriers are warships, serving as the centerpiece of the United States Navy's carrier strike groups. Named after Fleet Admiral Chester W. Nimitz, a key naval commander during","Country users: United States | Designer Country: United States | Dimensions: Length O: 1,092 feet (332.8 m), Beam O: 252 ft (76.8 m) and Draft: 37 feet (11.3 m) | Engine and Propulsion: The Nimitz-class carriers are powered by two Westinghouse A4W nuclear reactors, each generating energy through 93.5% highly enriched uranium (HEU). These reactors drive four steam turbines connected to four shafts, delivering an impressive output of 260,000 shaft horsepower (shp) or 194 megawatts (MW). This configuration allows the carriers to achieve speeds exceeding 30 knots (approximately 56 km | Engines and propulsion: 2 x Westinghouse A4W nuclear reactors, 4 x steam turbines and 4 x shafts",https://www.armyrecognition.com/military-products/navy/aircraft-carriers/nimitz-class-aircraft-carrier
47,Armored vehicles and equipment,76.5,120M Motor Grader,,United States,,"The 120M Motor Grader (MG) is a six-wheeled, commercial, construction grader for use by engineering military units. The vehicle is designed and manufactured by the Company Caterpillar.The 120M Motor G","Type: Engineer armoured vehicle a | Country users: United States | Weight: 20,452 kg with armour cab | Dimensions: Lenght: 8.48 m; Width: 2.54 m; Height: 3.27m | Speed: 44.5 km/h",https://www.armyrecognition.com/military-products/army/engineer-maintenance-vehicles/engineer-vehicles/120m-mg-motor-grader-united-states-uk
48,Armored vehicles and equipment,76.5,AMX-10RC,,Weight,,"The AMX-10 RC is a French-made wheeled armored vehicle, usually used for reconnaissance and fire support missions armed with a 105mm cannon. The AMX-10 RC was developed at the end of the 1970s. The AM","Origin: France | Type: Reconnaissance vehicle | Crew: 4 (commander, driver, gunner, loader) | Weight: 14.9 t empty | 15.9 t combat load",https://www.armyrecognition.com/military-products/army/anti-tank-systems-and-vehicles/wheeled-anti-tank-vehicles/amx-10rc-france-uk; https://weaponsystems.net/system/513-AMX-10RC
49,Armored vehicles and equipment,76.5,AMX-10RCR,,Weight,,"The AMX-10RCR is an upgraded version of the standard AMX-10RC, a 6x6 reconnaissance and anti-tank armored vehicle. The AMX-10RCR is being carried out in the three traditional key areas of armor (or su",Country users: Weight | Designer Country: Speed | Weight: France | Dimensions: 4 | Speed: France,https://www.armyrecognition.com/military-products/army/anti-tank-systems-and-vehicles/wheeled-anti-tank-vehicles/amx-10rcr-france-uk
50,EW assets,76.5,AN/TPQ-53,,"Singapore, United States",,The AN/TPQ-53 is a counterfire target acquisition radar designed and manufactured by the U.S. Company Lockheed Martin. The U.S. Army changed the designation of the Enhanced AN / TPQ-36 (EQ-36) radar t,"Type: Counterfire target acquisition radar | Country users: Singapore, United States | Designer Country: United States | Weight Truck: 8,889 kg | Dimensions: Length: 6.93 m; Width: 2.43 m; Height: 2.84 m",https://www.armyrecognition.com/military-products/army/radars/counter-battery-radars/an-tpq-53-radar-demonstrated-counter-uas-capability-42806161
51,Rocket and missile weapons,76.5,AT-4 HEAT,,Transport Box,,"The AT-4 HEAT is a low trajectory, low-dispersion weapon and each preloaded shell carry an extremely effective shaped charge. And to ensure stability and accuracy the shell is equipped with highly eff",Type: Caliber | Country users: Transport Box | Designer Country: Lenght | Weight: Armour Penetration | Caliber: Light anti-armour anti-tank weapon,https://www.armyrecognition.com/military-products/army/anti-tank-systems-and-vehicles/rocket-launcher/at-4-heat-sweden-uk
52,Rocket and missile weapons,76.5,AT-4CS AST,,Transport Box,,"The AT4CS AST is an anti-structure tandem weapon that has special internal ballistics allowing to be fired from confined spaces; tight jungle, in front of obstacles, or even with its own troops in clo",Type: Caliber | Country users: Transport Box | Designer Country: Lenght | Weight: Armor Penetration | Caliber: Light anti-structure tandem weapon,https://www.armyrecognition.com/military-products/army/anti-tank-systems-and-vehicles/rocket-launcher/at4cs-ast-sweden-uk
53,Rocket and missile weapons,76.5,AT4CS HP,,Transport Box,,The development of AT4CS HP was dedicated to providing infantry soldiers with the means to use the unique and complex environment of the urban battlefield to their full advantage in defeating a mechan,Type: Caliber | Country users: Transport Box | Designer Country: Lenght | Weight: Armor Penetration | Caliber: light anti-armor weapon,https://www.armyrecognition.com/military-products/army/anti-tank-systems-and-vehicles/rocket-launcher/at4cs-hp-sweden-uk
54,Armored vehicles and equipment,76.5,BMR-2 mine clearing,,Weight,,The BMR-2 is a mine-clearing demining armored vehicle based on T-54B tracked tank chassis. The experience of conducting combat operations in Afghanistan highlighted the necessity of mine-clearing vehi,"Country users: Weight | Designer Country: Speed | Weight: Russia, Ukraine | Dimensions: 5 | Speed: Russia",https://www.armyrecognition.com/military-products/army/engineer-maintenance-vehicles/deminining-vehicles/bmr-2-mine-clearing-tank-armored-vehicle-data-fact-sheet
55,Armored vehicles and equipment,76.5,Bulsae-4 M-2018,,"North Korea, Russia",,"The Bulsae-4, also called M-2018, is an advanced North Korean Anti-Tank Guided Missile (ATGM) combat vehicle designed to conduct combat operations against armored threats. This system is part of North","Country users: North Korea, Russia | Designer Country: North Korea | Weight: 14,200 kg | Dimensions: Length: 7.65 m; Width: 2.9 m; Height: ? m | Speed Vehicle: 90 km/h road speed",https://www.armyrecognition.com/military-products/army/anti-tank-systems-and-vehicles/wheeled-anti-tank-vehicles/bulsae-4-m-2018
56,Armored vehicles and equipment,76.5,Centauro ARV,,-,,The Centauro ARV (Armoured Recovery Vehicle ) is new member of the Italian-made Centauro Wheeled Main Gun System family. The Centauro Armoured Recovery Vehicle shares all the characteristics of mobili,"Country users: - | Weight: 30,000 kg in combat / 23,000 kg empty | Dimensions: Length, 8.25m; Width, 2.99 m; Height, 2.75 m turret | Speed: 110 km/h on road | Range: 600 km a a a a a",https://www.armyrecognition.com/military-products/army/engineer-maintenance-vehicles/armored-recovery-vehicles/centauro-arv-italy-uk
57,Armored vehicles and equipment,76.5,Dingo 2 GSI,,Germany,,"The Dingo 2 mine resistant, ambush protected vehicle is a further development of the previous Dingo 1. This vehicle was designed by the Krauss-Maffei Wegmann. The Dingo 2 is currently in service with ","Country users: Germany | Weight: ? kg | Dimensions: Lenght, ? m; Width, ? m; Height, ? m | Speed: 90 km/h on road | Range: 1.000 km",https://www.armyrecognition.com/military-products/army/engineer-maintenance-vehicles/armored-recovery-vehicles/dingo-2-gsi-germany-uk
58,Armored vehicles and equipment,76.5,GMZ-3,,"Armenia, Azerbaijan, Belarus, Kazakhstan, Kyrgyzstan, Russia, Tajikistan, Turkmenistan, Uzbekistan.",,"The GMZ-3 (Gusenichniy Minniy Zagraditel-3) is a Russian minelayer based on a tracked armored vehicle designed to lay and automatically arm anti-tank pressure and magnetic influence mines, both on the","Country users: Armenia, Azerbaijan, Belarus, Kazakhstan, Kyrgyzstan, Russia, Tajikistan, Turkmenistan, Uzbekistan. | Designer Country: Russia | Dimensions: Length: 8.62 m; Width: 3.25 m; Height: 2.7 m | Speed Vehicle: 60 km/h (max), 40–45 km/h (cruising), 25–30 km/h (dirt roads) | Range Vehicle: 500 km",https://www.armyrecognition.com/military-products/army/engineer-maintenance-vehicles/mine-laying-systems/gmz-3
59,Armored vehicles and equipment,76.5,IMR-2,,Russia and other East countries.,,"A 12.7 mm NSVT machine is mounted on the crew operator/commander hatch, for the self-protection of the vehicle.","Country users: Russia and other East countries. | Designer Country: Russia | Weight: 44,300 kg | Dimensions: Length, 9.55 m; Width, 4.35 m; Height, 3.68 m | Speed: 50 km/h maximum road speed",https://www.armyrecognition.com/military-products/army/engineer-maintenance-vehicles/engineer-vehicles/imr-2-russia-uk
60,Armored vehicles and equipment,76.5,ISDM Zemledeliye,,Mine range of fire,,The ISDM Zemledeliye is a new mobile mine laying system produced and manufactured by the Russian defense industry based on an 8x8 KamAZ military truck platform. It was first showcased during the Army-,Country users: Mine range of fire | Designer Country: Speed truck | Dimensions: 3 | Speed truck: Russia | Mine range of fire: Russia,https://www.armyrecognition.com/military-products/army/engineer-maintenance-vehicles/mine-laying-systems/isdm-zemledeliye
61,Armored vehicles and equipment,76.5,Kaplan 10 STA FNSS,,Weight,,The KAPLAN 10 is a new generation armored fighting vehicle that has the ability to move together with main battle tanks. Platform design enables all kinds of missions to be performed by integrating di,Country users: Weight | Designer Country: Speed | Weight: Turkey | Dimensions: 2 + 3 | Speed: Turkey,https://www.armyrecognition.com/military-products/army/anti-tank-systems-and-vehicles/tracked-anti-tank-vehicles/kaplan-sta-anti-tank-tracked-armored-vehicle-fnss-technical-data-fact-sheet
62,Armored vehicles and equipment,76.5,Kodiak Engineer Vehicle,,"Germany, Switzerland, Sweden, the Netherlands, and Singapore​",,"The Kodiak is a tracked engineer armored vehicle based on the chassis of a main battle tank. This vehicle was built following a need for the Army Engineer Corps of a robust, reliable, and cost-effecti","Country users: Germany, Switzerland, Sweden, the Netherlands, and Singapore​ | Designer Country: Germany and Switzerland | Weight: 55,000 kg | Dimensions: Length: 10.2 m; Width: 3.54 m; Height: 2.3 m | Speed: 55 km/h road speed",https://www.armyrecognition.com/military-products/army/engineer-maintenance-vehicles/engineer-vehicles/kodiak-engineer-vehicle
63,Armored vehicles and equipment,76.5,Kornet-D,,Weight,,The Tigr Kornet-D is the latest version of an anti-tank guided missile carrier vehicle that enters into service with the Russian armed forces in 2015. The vehicle was unveiled for the first time durin,"Country users: Weight | Designer Country: Speed vehicle | Weight: Algeria, Russia | Dimensions vehicle: 2 | Speed vehicle: Russia",https://www.armyrecognition.com/military-products/army/anti-tank-systems-and-vehicles/wheeled-anti-tank-vehicles/kornet-d-anti-tank-missile-carrier-4x4-vehicle-tigr-m-gaz-233116-technical-data-sheet-pictures-video-0105153
64,Armored vehicles and equipment,76.5,Leguan 2,,"Denmark, Germany, Finland,Norway, Switzerland,",,"The Leguan 2 is a bridge layer tracked armored vehicle, or AVLB (Armoured Vehicle-Launched Bridge), designed and manufactured by the German Company KMW Krauss-Maffei-Wegmann, now KNDS-Germany. This en","Country users: Denmark, Germany, Finland,Norway, Switzerland, | Designer Country: Germany | Weight: 62,000 kg | Dimensions: Length: 14.00 m; Width: 4.0 m; Height: 3.95 m | Speed: 65 km/h road speed",https://www.armyrecognition.com/military-products/army/engineer-maintenance-vehicles/bridge-layer/leguan-2
65,Armored vehicles and equipment,76.5,M1150 ABV Assault Breacher Vehicle,,"Australia, Ukraine, United States",,The M1150 Assault Breacher Vehicle (ABV) is a tracked armored engineer vehicle specifically designed for conducting in-stride breaching of minefields and complex obstacles. The ABV is built on the sam,"Country users: Australia, Ukraine, United States | Designer Country: United States | Weight: 50,000 kg | Dimensions: Length: 7.9 m; Width: 3.6 m; Height: 2.4 m | Speed: 70 km/h road speed",https://www.armyrecognition.com/military-products/army/engineer-maintenance-vehicles/deminining-vehicles/m1150-abv-assault-breacher-vehicle
66,Rocket and missile weapons,76.5,NLAW MBT LAW RB-57,,Weight,,The NLAW (Next generation Light Anti-tank Weapon) also called MBT LAW or RB-57 is a man-portable anti-tank missile weapon system developed and manufactured by the Swedish company SAAB. The development,"Type: Warhead missile | Country users: Weight | Designer Country: Armor penetration | Weight: Finland, Indonesia, Luxembourg, Malaysia, Sweden, Switzerland, Ukraine, United Kingdom | Anti-tank short-range fire-and-forget missile: HEAT High-Explosive Anti-Tank",https://www.armyrecognition.com/military-products/army/anti-tank-systems-and-vehicles/rocket-launcher/nlaw-next-generation-light-anti-tank-missile-weapon-data-fact-sheet
67,EW assets,76.5,Rosomak Swallow,,Prototype Poland,,"At the International Defence Industry Exhibition MSPO 2012 which was held in September 2012 in Poland, WZU (and its program partners Thales Netherlands and Raytheon) presented a new air defence missil","Type of vehicle: Tracking and illuminating radar for the BIRDS air defence missile system | Country users: Prototype Poland | Designer Country: Poland | Dimensions vehicle: Length, 7.7 m; Width, 2.8 m; | Radar Range: 72 km",https://www.armyrecognition.com/military-products/army/radars/mobile-radar-systems/rosomak-swallow-poland-uk
68,Rocket and missile weapons,76.5,RPG-7,,"Afghanistan, Albania, Algeria, Angola, Armenia, Azerbaijan, Belarus, Benin, Botswana, Bulgaria, Cambodia, Cape Verde, Chad, Congo, Croatia, Cuba, Czech Republic, RDC, Djibouti, Egypt, Georgia, Ghana, Guinea, Guyana, Iran, Iraq, Jordan, Kazakhstan, Kyrgyzstan, Laos, Latvia, Lebanon, Libya, Lithuania, Macedonia, Madagascar, Malta, Mauritania, Moldova, Mongolia, Morocco, Nicaragua, Nigeria, North Korea, Pakistan, China, Poland, Romania, Russia, Rwanda, Senegal, Seychelles, Sierra Leone, Somalia, South Africa, Sudan, Syria, Tajikistan, Togo, Türkiye, Turkmenistan, Ukraine, Uzbekistan, Vietnam, Yemen, Zambia, Zimbabwe.",,"The RPG-7 is a Russian-made anti-tank grenade launcher. When the development of the RPG-2’s replacement began in May 1958, the GSKB-47 Design Bureau’s goal was to improve the RPG-2 concept and produce",Origin: Soviet Union | Type: Rocket launcher | Crew: 1 or 2 | Lifespan: Reusable launcher | Weight: 6.3 kg empty with PGO-7V optical sight,https://www.armyrecognition.com/military-products/army/anti-tank-systems-and-vehicles/rocket-launcher/rpg-7-russia-uk; https://weaponsystems.net/system/1330-RPG-7
69,EW assets,76.5,Zoopark-1 1L219,,Weight Vehicle,,"The 1L219 also nicknamed Zoopark-1 is a Russian artillery counter-battery radar system, designed to detect and track enemy artillery and rocket launchers. The system was developed by the Russian compa",Type: Radar | Country users: Weight Vehicle | Designer Country: Speed | Weight Vehicle: Russia | Dimensions: 3 soldiers,https://www.armyrecognition.com/military-products/army/radars/counter-battery-radars/zoopark-1-1l-219-counter-battery-radar-system-russia-data
70,EW assets,76.5,Zoopark-1M 1L260,,Weight vehicle,,"The 1L260, also nicknamed Zoopark-1M is a Russian counter-battery radar system designed to detect and locate enemy artillery and rocket launcher positions. It was developed by the Tula Scientific Rese",Type: Radar | Country users: Weight vehicle | Designer Country: Speed | Weight vehicle: Russia | Dimensions Hull: 3,https://www.armyrecognition.com/military-products/army/radars/counter-battery-radars/zoopark-1m-1l260-artillery-counter-battery-radar-system-data
71,Rocket and missile weapons,75.7,M142 HIMARS,High Mobility Artillery Rocket System,United States,Lockheed Martin Missiles and Fire Control,"Wheeled multiple launch rocket system on a 6x6 FMTV truck chassis; fires six 227 mm GMLRS/ER-GMLRS rockets, one ATACMS missile, or two Precision Strike Missiles (PrSM); C-130 transportable; crew of 3;",Origin: United States | Type: Multiple rocket launcher | Crew: 3 | Weight: 16.2 t | Length: 7 m,https://www.armyrecognition.com/military-products/army/artillery-vehicles-and-weapons/multiple-launch-rocket-systems/himars-m142-high-mobility-rocket-missile-launcher-data; https://weaponsystems.net/system/654-M142+HIMARS
72,Rocket and missile weapons,75.7,MGM-140 ATACMS,Army Tactical Missile System,United States,Lockheed Martin (originally Martin Marietta),"Short-range tactical ballistic missile launched from M270 MLRS (2 missiles) and M142 HIMARS (1 missile); development contract 1986, first flight 1988, entered service 1991 (Gulf War); delivered to Ukr",Origin: United States | Type: Artillery rocket | Diameter: 0.61 m body | 1.4 m finspan | Length: 3.962 m,https://www.armyrecognition.com/military-products/army/missiles/ballistic-missiles/atacms-army-tactical-ballistic-missile-system-us-technical-data; https://weaponsystems.net/system/469-MGM-140+ATACMS
73,UGVs,75.0,AvantGuard UGCV,,Israel,,"• Tele-operation or semi-autonomous mission execution • Real-time, self-ruling, obstacle’s detection and avoidance • Proven safe-system • All terrain maneuverability • Easy to operate, dedicated comma",Country users: Israel | Weight: 1.746 kg | Dimensions: Height: ? m; Width: ? m; Lenght: ? m a | Speed: 20 km/h | Range: ? a a,https://www.armyrecognition.com/military-products/army/unmanned-systems/unmanned-ground-vehicles/avantguard-israel-uk
74,UGVs,75.0,Guardium UGV,,Israel,,"Operationally deployed by the Israeli Army, the Guardium UGV™, a semi-autonomous unmanned ground system, revolutionizes the effectiveness and utility of perimeter security and represents a long awaite","Country users: Israel | Weight: 1.400 kg | Dimensions: Height: 2.2 m; Width: 1,8 m; Lenght: 2.95 m a | Speed: 50 km/h (in semi-autonomous mode) | Range: 24 hours and up to days of continuous operation a a",https://www.armyrecognition.com/military-products/army/unmanned-systems/unmanned-ground-vehicles/guardium-ugv-israel-uk
75,UGVs,75.0,Guardium-LS,,Israel,,"• Easy to operate, dedicated command & control application; • Built-in debriefing and training capabilities; • Variety of customer tailored wireless communication solutions • 24 hours and up to days o",Country users: Israel | Weight: 1.200 kg | Speed: 50 km/h (in semi-autonomous mode) | Range: 24 hours and up to days of continuous operation a a | Armament: Possibility to install a Remotely Operated Weapons System and Non-lethal Weapons Systems,https://www.armyrecognition.com/military-products/army/unmanned-systems/unmanned-ground-vehicles/guardium-lg-israel-uk
76,UGVs,75.0,Sharp Claw 1,,Weight,,The Sharp Claw 1 is an Unmanned Ground Vehicle (UGV) developed and designed by the Chinese Defense Company NORINCO (China North Industries Corporation). Sharp Claw I is one of two vehicles in the Shar,Country users: Weight | Designer Country: Speed | Weight: China | Dimensions: 1 | Speed: China,https://www.armyrecognition.com/military-products/army/unmanned-systems/unmanned-ground-vehicles/sharp-claw-1-ugv-unmanned-ground-vehicle-china-data-fact-sheet
77,Aircraft,74.5,Dassault Rafale,Rafale B; Rafale C; Rafale M,France,Dassault Aviation,"French twin-engine, canard delta-wing multirole fighter aircraft designed and built by Dassault Aviation. Designed for air supremacy, interdiction, aerial reconnaissance, ground support, in-depth stri","Maximum Speed: 1,383 mph | Cruise Speed: 898 mph | Service Ceiling: 51,952 ft | Operational Range: 2,299 miles | Rate-of-Climb: 60,000 ft/min",https://www.armyrecognition.com/military-products/air/fighter/rafale-dassault; https://www.militaryfactory.com/aircraft/detail.php?aircraft_id=60
78,Aircraft,74.5,F-16A/B Fighting Falcon,F-16A; F-16B,United States,General Dynamics (now Lockheed Martin),"Single-seat, single-engine, all-weather multirole fighter aircraft developed by General Dynamics (now Lockheed Martin). The F-16A is the single-seat variant while the F-16B is the two-seat training ve","Type: Multirole fighter (single-seat F-16A, two-seat F-16B) | Crew: 1 | Engine: 1 x Pratt & Whitney F100-PW-200 afterburning turbofan, 23,830 lbf (106 kN) thrust | Length: 15.06 m (49.4 ft) | Wingspan: 9.45 m (31 ft)",https://www.armyrecognition.com/military-products/air/fighter/f-16a-b-fighting-falcon
79,Aircraft,74.5,F-35A Lightning II,F-35A,United States,Lockheed Martin,"Single-seat, single-engine, all-weather stealth fifth-generation multirole fighter aircraft developed by Lockheed Martin for the US Air Force. The F-35A is the standard take-off and landing (CTOL) ver","Crew: 1 | Engine: 1 x Pratt & Whitney F135-PW-100 turbofan (28,000 lb dry / 43,000 lb with afterburner) | Length: 15.7 m | Wingspan: 10.7 m | Height: 4.4 m",https://www.armyrecognition.com/military-products/air/fighter/f-35a-lightning-ii
80,UAVs,74.1,Euro Hawk,,Germany,,"EURO HAWK® is an high-altitude, long-endurance (HALE), signals intelligence (SIGINT) unmanned aircraft system based on the RQ-4 Global Hawk produced by Northrop Grumman for the German Bundeswehr. With","Type: High altitude long endurance Unmanned Aircraft System UAS | Country users: Germany | Designer Country: United States - Germany | Weight: 14,628 kg | Dimensions: Length, 14,5 m; Wingspan, 39,9m; Height, 4,6 m",https://www.armyrecognition.com/military-products/army/unmanned-systems/unmanned-aerial-vehicles/euro-hawk; https://www.armyrecognition.com/military-products/air/unmanned-aircraft-system/euro-hawk-uas-unmanned-aircraft-system-technical-data-sheet-specifications-intelligence-description-information-identification-pictures-photos-images-video-germany-german-air-force-defence-industry-military-technology
81,UAVs,74.1,Hero 120 Loitering Munition,,"Israel, United States",,"The HERO 120 is a medium-range anti-tank loitering munition developed by Israeli company UVision Air Ltd. Designed to provide frontline units with independent intelligence, surveillance, and reconnais","Country users: Israel, United States | Designer Country: Israel | Weight: 24 kg | Range: Up to 60 km | | Endurance: Up to 60 minutes",https://www.armyrecognition.com/military-products/army/unmanned-systems/unmanned-aerial-vehicles/hero-120-loitering-munition
82,UAVs,74.1,Lancet-1,,Weight,,"The Lancet-1 is a Russian-made loitering munition also called kamikaze our suicide drone designed, developed, and produced by the Company Zala Group, a subdivision of the Kalashnikov Group. The drone ","Type: Targets | Country users: Weight | Designer Country: Speed | Weight: Armenia, Azerbaijan, Russia | Speed: Russia",https://www.armyrecognition.com/military-products/army/unmanned-systems/unmanned-aerial-vehicles/lancet-1-loitering-munition-kamikaze-drone-russia-data-fact-sheet
83,UAVs,74.1,Lancet-3,,Weight,,"The Lancet-3 is the largest variant in the Russian-made Lancet family of loitering munitions also called suicide or kamikaze drone. It was designed and developed by the Russian company Zala Group, a s",Type: Targets | Country users: Weight | Designer Country: Speed | Weight: Russia | Speed: Russia,https://www.armyrecognition.com/military-products/army/unmanned-systems/unmanned-aerial-vehicles/lancet-3-loitering-munition-kamikaze-drone-russia-data-fact-sheet
84,UAVs,74.1,LUCAS FLM 136,,United States,,"The LUCAS (Low-cost Unmanned Combat Attack System) is a U.S. long-range loitering munition / one-way attack unmanned aerial vehicle developed and manufactured by SpektreWorks, a defense technology com",Type: Long-range loitering munition / one-way attack UAV | Country users: United States | Designer Country: United States | Weight: 81.6 kg (180 lb) | Dimensions: Length: 2.99 m; Wingspan: 2.50 m; Height: 0.46 m,https://www.armyrecognition.com/military-products/army/unmanned-systems/unmanned-aerial-vehicles/lucas-flm-136
85,UAVs,74.1,Milkor 380,,"South Africa (initial market focus), potential export customers in Africa, Middle East, and Asia.",,"The Milkor 380 UAV is an unmanned aerial vehicle (UAV) developed by Milkor (Pty) Ltd, a South African defense manufacturer. This medium-altitude, long-endurance (MALE) UAV is designed for multi-role a","Type: Medium-Altitude Long-Endurance (MALE) Unmanned Aerial Vehicle (UAV) | Country users: South Africa (initial market focus), potential export customers in Africa, Middle East, and Asia. | Designer Country: South Africa (Milkor (Pty) Ltd) | Weight: Maximum Takeoff Weight (MTOW): 1,500 kg | Dimensions: Length: 9.0 m; Height: ? m; Wingspan: 18.0 m",https://www.armyrecognition.com/military-products/army/unmanned-systems/unmanned-aerial-vehicles/milkor-380
86,UAVs,74.1,MQ-9 Reaper Predator B,,"France, India, Italy, Netherlands, Spain, United Kingdom, United States",,"The MQ-9 Reaper (previously Predator B) is a medium-to-high altitude, long-endurance remotely piloted aircraft system. (UAS), capable of remote-controlled or autonomous flight operations, developed by","Country users: France, India, Italy, Netherlands, Spain, United Kingdom, United States | Designer Country: United States | Weight: 2,223 kg | Dimensions: Lenght: 11,0 m; Wingspan: 20,1 m; Height: 3,8 m | Engine: The Reaper has a 950-shaft-horsepower (712 kW) turboprop engine, far more powerful than the Predator's 115 hp (86 kW) piston engine, The MQ-9 Reaper Predator B can also be used as an armed multi-mission UAV, launching AGM-114C/K Hellfire missiles and other guided weapons. The increase in power allows the Reaper to carry 15 times more ordnance and cruise at three times the speed of the MQ-1 Predato",https://www.armyrecognition.com/military-products/army/unmanned-systems/unmanned-aerial-vehicles/mq-9-reaper-predator-b
87,UAVs,74.1,Repeynik radar,,Detection altitude,,Repeynik radar in English Burdock is a cutting-edge surveillance system designed for the detection and tracking of ultra-small objects such as UAVs (Unmanned aerial Vehicles) within a range of up to 1,Type: Detection range | Country users: Detection altitude | Designer Country: Speed of target detection | Dimensions Radar: 5 minutes | Speed of target detection: Russia,https://www.armyrecognition.com/military-products/army/radars/ground-radars/repeynik-burdock-radar-for-surveillance-detection-tracking-of-uavs-data
88,UAVs,74.1,S-70 Okhotnik-B Hunter UCAV,,Russia,,"The S-70 Okhotnik-B, also known as ""Hunter,"" is a Russian-made stealth unmanned combat aerial vehicle (UCAV) developed by Sukhoi under the Russian Ministry of Defense. Designed for reconnaissance, ele","Type: Unmanned Combat Aerial Vehicle (UCAV) with stealth capabilities | Country users: Russia | Designer Country: Russia | Weight: - Empty weight: 10,000 to 20,000 kg- Max takeoff weight: 25,000 kg | Dimensions: Length: 14.0 m; Height: 3.0 to 4.0 m; Wingspan: ± 20.0 m",https://www.armyrecognition.com/military-products/army/unmanned-systems/unmanned-aerial-vehicles/s-70-okhotnik-b-hunter-ucav
